番号,日付,時間,ms,CHU1-1,CHU1-2,CHU1-3,CHU1-4,CHU2-1,CHU2-2,CHU2-3,CHU2-4,CHU2-5,CHU2-6,CHU2-7,CHU2-8,CHU2-9,CHU2-10,AlarmU1,AlarmU2,AlarmOut,MarkEvent
NO.,Date,Time,ms," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V","A1234567890","A1234567890","AO1234567890","Alarm/Info/x/User12345678"
68,2024-12-18,16:49:17,670,-0.006,-0.001,-0.001,-0.005,+0.04,-0.01,-0.02,+0.04,+0.06,+3.374,+0.010,+0.01,-0.03,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
69,2024-12-18,16:49:17,680,-0.005,-0.002,-0.002,-0.007,+0.04,+0.02,+0.01,+0.04,+0.06,+3.376,+0.012,+0.02,+0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
70,2024-12-18,16:49:17,690,-0.005,-0.003,-0.003,-0.004,+0.04,+0.00,+0.00,+0.05,+0.03,+3.376,+0.011,+0.03,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
71,2024-12-18,16:49:17,700,-0.006,-0.002,-0.002,-0.004,+0.03,+0.04,+0.03,+0.06,+0.05,+3.376,+0.013,+0.01,+0.02,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
72,2024-12-18,16:49:17,710,-0.008,+0.000,-0.004,-0.005,+0.03,+0.03,+0.00,+0.07,+0.02,+3.376,+0.013,+0.02,+0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
73,2024-12-18,16:49:17,720,-0.008,-0.002,-0.002,-0.006,+0.01,+0.00,+0.03,+0.06,+0.04,+3.374,+0.011,+0.02,-0.01,-0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
74,2024-12-18,16:49:17,730,-0.006,-0.003,-0.003,-0.004,+0.02,+0.04,+0.01,+0.05,+0.04,+3.375,+0.011,+0.01,-0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
75,2024-12-18,16:49:17,740,-0.007,-0.000,-0.004,-0.004,+0.04,+0.02,+0.02,+0.04,+0.03,+3.373,+0.012,+0.01,+0.00,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
76,2024-12-18,16:49:17,750,-0.006,-0.001,-0.001,-0.006,+0.03,+0.03,+0.03,+0.04,+0.05,+3.374,+0.011,+0.03,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
77,2024-12-18,16:49:17,760,-0.005,-0.002,-0.002,-0.004,+0.01,+0.02,+0.04,+0.04,+0.04,+3.374,+0.011,+0.01,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
